idx	id	scientific.name	family	taxon.rank	taxon.status	search.str	threat.status	original.search
59	31457	Cybianthus goyazensis Mez	Primulaceae	species	accepted	Cybianthus goyazensis	NA	Cybianthus goyazensis
60	8097	Lacistema hasslerianum Chodat	Lacistemataceae	species	accepted	Lacistema hasslerianum	NA	Lacistema hasslerianum
62	26261	Ruellia dissitifolia (Nees) Hiern	Acanthaceae	species	accepted	Ruellia dissitifolia	LC	Ruellia dissitifolia
63	10883	Psidium rufum Mart. ex DC.	Myrtaceae	species	accepted	Psidium rufum	NA	Psidium rufum
64	30076	Amasonia hirta Benth.	Lamiaceae	species	accepted	Amasonia hirta	NA	Amasonia hirta
66	83716	Senna rugosa (G.Don) H.S.Irwin & Barneby	Fabaceae	species	accepted	Senna rugosa	NA	Senna rugosa
67	113240	Cuspidaria sceptrum (Cham.) L.G.Lohmann	Bignoniaceae	species	accepted	Cuspidaria sceptrum	NA	Cuspidaria sceptrum
68	12428	Esterhazya splendida J.C.Mikan	Orobanchaceae	species	accepted	Esterhazya splendida	NA	Esterhazya splendida
69	78639	Chamaecrista desvauxii (Collad.) Killip	Fabaceae	species	accepted	Chamaecrista desvauxii	NA	Chamaecrista desvauxii
70	4073	Ludwigia tomentosa (Cambess.) H.Hara	Onagraceae	species	accepted	Ludwigia tomentosa	NA	Ludwigia tomentosa
71	17279	Davilla elliptica A.St.-Hil.	Dilleniaceae	species	accepted	Davilla elliptica	NA	Davilla elliptica
72	112161	Diplusodon capitalensis T.B.Cavalc.	Lythraceae	species	accepted	Diplusodon capitalensis	NA	Diplusodon capitalensis
73	126142	Aldama robusta (Gardner) E.E.Schill. & Panero	Asteraceae	species	accepted	Aldama robusta	NA	Aldama robusta
74	9434	Cambessedesia espora (A.St.-Hil. ex Bonpl.) DC.	Melastomataceae	species	accepted	Cambessedesia espora	NA	Cambessedesia espora
75	9864	Rhynchanthera grandiflora (Aubl.) DC.	Melastomataceae	species	accepted	Rhynchanthera grandiflora	LC	Rhynchanthera grandiflora
76	112400	Adenocalymma nodosum (Silva Manso) L.G.Lohmann	Bignoniaceae	species	accepted	Adenocalymma nodosum	NA	Adenocalymma nodosum
77	26127	Styrax ferrugineus Nees & Mart.	Styracaceae	species	accepted	Styrax ferrugineus	NA	Styrax ferrugineus
78	80635	Eremanthus glomerulatus Less.	Asteraceae	species	accepted	Eremanthus glomerulatus	NA	Eremanthus glomerulatus
79	8831	Byrsonima coccolobifolia Kunth	Malpighiaceae	species	accepted	Byrsonima coccolobifolia	LC	Byrsonima coccolobifolia
82	14140	Palicourea marcgravii A.St.-Hil.	Rubiaceae	species	accepted	Palicourea marcgravii	NA	Palicourea marcgravii
83	4572	Ditassa lenheirensis Silveira	Apocynaceae	species	accepted	Ditassa lenheirensis	NA	Ditassa lenheirensis
84	112517	Anemopaegma glaucum Mart. ex DC.	Bignoniaceae	species	accepted	Anemopaegma glaucum	NA	Anemopaegma glaucum
85	10419	Eugenia involucrata DC.	Myrtaceae	species	accepted	Eugenia involucrata	NA	Eugenia involucrata
86	25711	Diplopterys pubipetala (A.Juss.) W.R.Anderson & C.C.Davis	Malpighiaceae	species	accepted	Diplopterys pubipetala	NA	Diplopterys pubipetala
87	19436	Camarea affinis A.St.-Hil.	Malpighiaceae	species	accepted	Camarea affinis	LC	Camarea affinis
88	8919	Mascagnia cordifolia (A.Juss.) Griseb.	Malpighiaceae	species	accepted	Mascagnia cordifolia	NA	Mascagnia cordifolia
89	25721	Pterandra pyroidea A.Juss.	Malpighiaceae	species	accepted	Pterandra pyroidea	LC	Pterandra pyroidea
90	8918	Mascagnia bierosa (A.Juss.) W.R.Anderson	Malpighiaceae	species	accepted	Mascagnia bierosa	NA	Mascagnia bierosa
91	25454	Erythroxylum tortuosum Mart.	Erythroxylaceae	species	accepted	Erythroxylum tortuosum	NA	Erythroxylum tortuosum
92	17434	Erythroxylum suberosum A.St.-Hil.	Erythroxylaceae	species	accepted	Erythroxylum suberosum	NA	Erythroxylum suberosum
93	29443	Andira humilis Mart. ex Benth.	Fabaceae	species	accepted	Andira humilis	NA	Andira laurifolia
94	6688	Caryocar brasiliense Cambess.	Caryocaraceae	species	accepted	Caryocar brasiliense	LC	Caryocar brasiliense
95	20794	Palicourea officinalis Mart.	Rubiaceae	species	accepted	Palicourea officinalis	NA	Palicourea officinalis
96	22717	Mabea fistulifera Mart.	Euphorbiaceae	species	accepted	Mabea fistulifera	NA	Mabea fistulifera
97	31497	Eugenia klotzschiana O.Berg	Myrtaceae	species	accepted	Eugenia klotzschiana	LC	Eugenia klotzschiana
98	29140	Acalypha claussenii (Turcz.) Müll.Arg.	Euphorbiaceae	species	accepted	Acalypha claussenii	NA	Acalypha claussenii
99	14422	Phoradendron crassifolium (Pohl ex DC.) Eichler	Santalaceae	species	accepted	Phoradendron crassifolium	NA	Phoradendron crassifolium
100	25078	Ruellia villosa (Nees) Lindau	Acanthaceae	species	accepted	Ruellia villosa	NA	Ruellia villosa
101	26268	Ruellia incomta (Nees) Lindau	Acanthaceae	species	accepted	Ruellia incomta	NA	Ruellia incomta
104	19431	Byrsonima umbellata Mart. ex A.Juss.	Malpighiaceae	species	accepted	Byrsonima umbellata	NA	Byrsonima umbellata
105	15180	Lippia pumila Cham.	Verbenaceae	species	accepted	Lippia pumila	NA	Lippia pumila
106	33181	Lippia grandiflora Mart. & Schauer	Verbenaceae	species	accepted	Lippia grandiflora	NA	Lantana glaziovii
107	19453	Heteropterys escalloniifolia A.Juss.	Malpighiaceae	species	accepted	Heteropterys escalloniifolia	NA	Heteropterys escalloniifolia
108	30470	Heteropterys byrsonimifolia A.Juss.	Malpighiaceae	species	accepted	Heteropterys byrsonimifolia	NA	Heteropterys byrsonimifolia
109	30508	Tetrapterys ambigua (A.Juss.) Nied.	Malpighiaceae	species	accepted	Tetrapterys ambigua	NA	Tetrapterys ambigua
110	30477	Heteropterys rhopalifolia A.Juss.	Malpighiaceae	species	accepted	Heteropterys rhopalifolia	NA	Heteropterys rhopalifolia
111	83468	Mimosa somnians Humb. & Bonpl. ex Willd.	Fabaceae	species	accepted	Mimosa somnians	NA	Mimosa somnians
112	23092	Mimosa setosa Benth.	Fabaceae	species	accepted	Mimosa setosa	NA	Mimosa setosa
113	18798	Mimosa foliolosa Benth.	Fabaceae	species	accepted	Mimosa foliolosa	NA	Mimosa foliolosa
114	28433	Jacquemontia fusca (Meisn.) Hallier f.	Convolvulaceae	species	accepted	Jacquemontia fusca	NA	Jacquemontia fusca
115	6996	Evolvulus cressoides Mart.	Convolvulaceae	species	accepted	Evolvulus cressoides	NT	Evolvulus cressoides
116	19133	Stryphnodendron adstringens (Mart.) Coville	Fabaceae	species	accepted	Stryphnodendron adstringens	LC	Stryphnodendron adstringens
117	29842	Pterodon emarginatus Vogel	Fabaceae	species	accepted	Pterodon emarginatus	NA	Pterodon emarginatus
118	100914	Tachigali vulgaris L.G.Silva & H.C.Lima	Fabaceae	species	accepted	Tachigali vulgaris	NA	Sclerolobium paniculatum
119	15294	Qualea parviflora Mart.	Vochysiaceae	species	accepted	Qualea parviflora	NA	Qualea parviflora
120	101103	Leptolobium dasycarpum Vogel	Fabaceae	species	accepted	Leptolobium dasycarpum	NA	Acosmium dasycarpum
121	29628	Dipteryx alata Vogel	Fabaceae	species	accepted	Dipteryx alata	LC	Dipteryx alata
122	29902	Vatairea macrocarpa (Benth.) Ducke	Fabaceae	species	accepted	Vatairea macrocarpa	NA	Vatairea macrocarpa
123	15463	Anacardium humile A.St.-Hil.	Anacardiaceae	species	accepted	Anacardium humile	LC	Anacardium humile
124	83156	Enterolobium gummiferum (Mart.) J.F.Macbr.	Fabaceae	species	accepted	Enterolobium gummiferum	NA	Enterolobium gummiferum
125	19928	Ouratea hexasperma (A.St.-Hil.) Baill.	Ochnaceae	species	accepted	Ouratea hexasperma	NA	Ouratea hexasperma
126	7762	Deianira chiquitana Herzog	Gentianaceae	species	accepted	Deianira chiquitana	NA	Deianira chiquitana
128	4882	Ilex brasiliensis (Spreng.) Loes.	Aquifoliaceae	species	accepted	Ilex brasiliensis	NA	Ilex brasiliensis
129	5274	Chaptalia nutans (L.) Pol.	Asteraceae	species	accepted	Chaptalia nutans	NA	Chaptalia nutans
130	27181	Lessingianthus durus (Mart. ex DC.) H.Rob.	Asteraceae	species	accepted	Lessingianthus durus	NA	Lessingianthus durus
131	9494	Lavoisiera imbricata (Thunb.) DC.	Melastomataceae	species	accepted	Lavoisiera imbricata	LC	Lavoisiera imbricata
132	9985	Trembleya phlogiformis DC.	Melastomataceae	species	accepted	Trembleya phlogiformis	LC	Trembleya phlogiformis
134	22247	Vernonanthura brasiliana (L.) H.Rob.	Asteraceae	species	accepted	Vernonanthura brasiliana	NA	Vernonanthura brasiliana
135	27339	Raulinoreitzia leptophlebia (B.L.Rob.) R.M.King & H.Rob.	Asteraceae	species	accepted	Raulinoreitzia leptophlebia	LC	Raulinoreitzia leptophlebia
136	30460	Byrsonima viminifolia A.Juss.	Malpighiaceae	species	accepted	Byrsonima viminifolia	NA	Byrsonima viminifolia
137	30413	Banisteriopsis argyrophylla (A.Juss.) B.Gates	Malpighiaceae	species	accepted	Banisteriopsis argyrophylla	NA	Banisteriopsis argyrophylla
138	31566	Myrcia dealbata DC.	Myrtaceae	species	accepted	Myrcia dealbata	NA	Myrcia dealbata
139	20743	Galianthe grandifolia E.L.Cabral	Rubiaceae	species	accepted	Galianthe grandifolia	NA	Galianthe grandifolia
140	15316	Vochysia rufa Mart.	Vochysiaceae	species	accepted	Vochysia rufa	NA	Vochysia rufa
142	26814	Aspilia foliacea (Spreng.) Baker	Asteraceae	species	accepted	Aspilia foliacea	NA	Wedelia foliacea
143	14367	Casearia decandra Jacq.	Salicaceae	species	accepted	Casearia decandra	NA	Casearia decandra
144	82917	Chamaecrista parvistipula (Benth.) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista parvistipula	NA	Chamaecrista parvistipula
145	26346	Gomphrena pohlii Moq.	Amaranthaceae	species	accepted	Gomphrena pohlii	NA	Gomphrena pohlii
146	29650	Eriosema glaziovii Harms	Fabaceae	species	accepted	Eriosema glaziovii	DD	Eriosema glaziovii
147	106796	Gamochaeta purpurea (L.) Cabrera	Asteraceae	species	accepted	Gamochaeta purpurea	NA	Gamochaeta purpurea
148	31593	Myrcia linearifolia Cambess.	Myrtaceae	species	accepted	Myrcia linearifolia	NA	Myrcia linearifolia
149	29641	Eriosema crinitum (Kunth) G.Don	Fabaceae	species	accepted	Eriosema crinitum	NA	Eriosema crinitum
150	13938	Emmeorhiza umbellata (Spreng.) K.Schum.	Rubiaceae	species	accepted	Emmeorhiza umbellata	NA	Emmeorhiza umbellata
151	15288	Qualea grandiflora Mart.	Vochysiaceae	species	accepted	Qualea grandiflora	NA	Qualea grandiflora
152	26302	Stenandrium pohlii Nees	Acanthaceae	species	accepted	Stenandrium pohlii	NA	Stenandrium pohlii
153	16067	Clibadium armani (Balb.) Sch.Bip. ex O.E.Schulz	Asteraceae	species	accepted	Clibadium armani	NA	Clibadium armanii
154	14442	Phoradendron perrottetii (DC.) Eichler	Santalaceae	species	accepted	Phoradendron perrottetii	NA	Phoradendron perrottetii
155	19659	Miconia fallax DC.	Melastomataceae	species	accepted	Miconia fallax	NA	Miconia fallax
156	28037	Chamaecrista pohliana (Benth.) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista pohliana	NA	Chamaecrista pohliana
157	103961	Gomphrena arborescens L.f.	Amaranthaceae	species	accepted	Gomphrena arborescens	NA	Gomphrena arborescens
158	35357	Drosera grantsaui Rivadavia	Droseraceae	species	accepted	Drosera grantsaui	NA	Drosera grantsaui
159	7483	Gaylussacia brasiliensis (Spreng.) Meisn.	Ericaceae	species	accepted	Gaylussacia brasiliensis	NA	Gaylussacia brasiliensis
160	14338	Tocoyena formosa (Cham. & Schltdl.) K.Schum.	Rubiaceae	species	accepted	Tocoyena formosa	NA	Tocoyena formosa
161	113396	Fridericia platyphylla (Cham.) L.G.Lohmann	Bignoniaceae	species	accepted	Fridericia platyphylla	NA	Fridericia platyphylla
162	27992	Chamaecrista lundii (Benth.) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista lundii	NA	Chamaecrista lundii
163	32104	Oxalis cordata A.St.-Hil.	Oxalidaceae	species	accepted	Oxalis cordata	NA	Oxalis cordata
164	4408	Tapirira guianensis Aubl.	Anacardiaceae	species	accepted	Tapirira guianensis	NA	Tapirira guianensis
165	122367	Planaltina capitata (K.Schum.) R.M. Salas & E.L. Cabral	Rubiaceae	species	accepted	Planaltina capitata	NA	Planaltina capitata
166	29880	Stylosanthes scabra Vogel	Fabaceae	species	accepted	Stylosanthes scabra	NA	Stylosanthes scabra
167	84127	Vismia gracilis Hieron.	Hypericaceae	species	accepted	Vismia gracilis	NA	Vismia gracilis
168	83203	Hymenaea martiana Hayne	Fabaceae	species	accepted	Hymenaea martiana	LC	Hymenaea martiana
169	28021	Chamaecrista orbiculata (Benth.) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista orbiculata	NA	Chamaecrista orbiculata
170	8480	Ocotea pulchella (Nees & Mart.) Mez	Lauraceae	species	accepted	Ocotea pulchella	LC	Ocotea pulchella
171	21143	Cestrum obovatum Sendtn.	Solanaceae	species	accepted	Cestrum obovatum	NA	Cestrum obovatum
172	16816	Licania apetala (E.Mey.) Fritsch	Chrysobalanaceae	species	accepted	Licania apetala	NA	Licania apetala
173	15177	Lippia lippioides (Cham.) Rusby	Verbenaceae	species	accepted	Lippia lippioides	NA	Lippia lippioides
174	28035	Chamaecrista planaltoana (Harms) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista planaltoana	NA	Chamaecrista planaltoana
175	15282	Qualea cordata Spreng.	Vochysiaceae	species	accepted	Qualea cordata	NA	Qualea cordata
176	10699	Myrcia guianensis (Aubl.) DC.	Myrtaceae	species	accepted	Myrcia guianensis	LC	Myrcia guianensis
177	110313	Duguetia furfuracea (A.St.-Hil.) Saff.	Annonaceae	species	accepted	Duguetia furfuracea	NA	Duguetia furfuracea
178	14450	Phoradendron tunaeforme (DC.) Eichler	Santalaceae	species	accepted	Phoradendron tunaeforme	NA	Phoradendron tunaeforme
179	30721	Miconia leucocarpa DC.	Melastomataceae	species	accepted	Miconia leucocarpa	NA	Miconia leucocarpa
181	14275	Rustia formosa (Cham. & Schltdl.) Klotzsch	Rubiaceae	species	accepted	Rustia formosa	NA	Rustia formosa
182	114849	Stryphnodendron pumilum Glaz.	Fabaceae	species	accepted	Stryphnodendron pumilum	NA	Stryphnodendron pumilum
183	31311	Mimosa radula var. imbricata (Benth.) Barneby	Fabaceae	variety	accepted	Mimosa radula var. imbricata	NA	Mimosa imbricata
184	28038	Chamaecrista polita (H.S.Irwin & Barneby) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista polita	NA	Chamaecrista polita
185	21020	Pouteria ramiflora (Mart.) Radlk.	Sapotaceae	species	accepted	Pouteria ramiflora	NA	Pouteria ramiflora
186	1023	Spiranthera odoratissima A.St.-Hil.	Rutaceae	species	accepted	Spiranthera odoratissima	LC	Spiranthera odoratissima
187	20976	Serjania reticulata Cambess.	Sapindaceae	species	accepted	Serjania reticulata	NA	Serjania reticulata
188	21168	Solanum mammosum L.	Solanaceae	species	accepted	Solanum mammosum	NA	Solanum mammosum
189	114615	Symplocos arbutifolia Casar.	Symplocaceae	species	accepted	Symplocos arbutifolia	NA	Symplocos arbutifolia
190	26219	Justicia lanstyakii Rizzini	Acanthaceae	species	accepted	Justicia lanstyakii	NA	Justicia lanstyakii
191	16938	Rourea induta Planch.	Connaraceae	species	accepted	Rourea induta	NA	Rourea induta
192	8837	Byrsonima laxiflora Griseb.	Malpighiaceae	species	accepted	Byrsonima laxiflora	NA	Byrsonima laxiflora
193	31513	Eugenia sellowiana DC.	Myrtaceae	species	accepted	Eugenia sellowiana	NA	Eugenia lutescens
194	32413	Polygala coriacea A.St.-Hil. & Moq.	Polygalaceae	species	accepted	Polygala coriacea	NA	Polygala coriacea
195	82684	Bauhinia rufa (Bong.) Steud.	Fabaceae	species	accepted	Bauhinia rufa	NA	Bauhinia rufa
196	82900	Chamaecrista flexuosa (L.) Greene	Fabaceae	species	accepted	Chamaecrista flexuosa	NA	Chamaecrista flexuosa
197	105122	Euploca salicoides (Cham.) J.I.M.Melo & Semir	Boraginaceae	species	accepted	Euploca salicoides	LC	Heliotropium salicioides
198	28648	Gaylussacia goyazensis Sleumer	Ericaceae	species	accepted	Gaylussacia goyazensis	NA	Gaylussacia goyazensis
199	83459	Mimosa schomburgkii Benth.	Fabaceae	species	accepted	Mimosa schomburgkii	NA	Mimosa schomburgkii
200	114196	Jacaranda ulei Bureau & K.Schum.	Bignoniaceae	species	accepted	Jacaranda ulei	LC	Jacaranda ulei
201	14821	Solanum paniculatum L.	Solanaceae	species	accepted	Solanum paniculatum	NA	Solanum paniculatum
202	29812	Periandra mediterranea (Vell.) Taub.	Fabaceae	species	accepted	Periandra mediterranea	NA	Periandra mediterranea
203	101060	Collaea stenophylla (Hook. & Arn.) Benth.	Fabaceae	species	accepted	Collaea stenophylla	NA	Collaea stenophylla
204	24556	Psychotria mapourioides DC.	Rubiaceae	species	accepted	Psychotria mapourioides	NA	Psychotria mapourioides
205	27182	Lessingianthus eitenii (H.Rob.) H.Rob.	Asteraceae	species	accepted	Lessingianthus eitenii	EN	Lessingianthus eitenii
206	14584	Aureliana fasciculata (Vell.) Sendtn.	Solanaceae	species	accepted	Aureliana fasciculata	LC	Aureliana fasciculata
207	14602	Brunfelsia obovata Benth.	Solanaceae	species	accepted	Brunfelsia obovata	NA	Brunfelsia obovata
208	27969	Chamaecrista imbricans (H.S.Irwin & Barneby) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista imbricans	NA	Chamaecrista imbricans
209	28286	Licania araneosa Taub.	Chrysobalanaceae	species	accepted	Licania araneosa	NA	Licania araneosa
210	9997	Guarea macrophylla Vahl	Meliaceae	species	accepted	Guarea macrophylla	NA	Guarea macrophylla
211	10716	Myrcia lasiantha DC.	Myrtaceae	species	accepted	Myrcia lasiantha	NA	Myrcia lasiantha
212	9668	Miconia albicans (Sw.) Triana	Melastomataceae	species	accepted	Miconia albicans	NA	Miconia albicans
213	9792	Microlicia fasciculata Mart. ex Naudin	Melastomataceae	species	accepted	Microlicia fasciculata	LC	Microlicia fasciculata
214	88088	Solanum didymum Dunal	Solanaceae	species	accepted	Solanum didymum	NA	Solanum didymum
215	29649	Eriosema glabrum Mart. ex Benth.	Fabaceae	species	accepted	Eriosema glabrum	NA	Eriosema glabrum
216	27398	Stevia heptachaeta DC.	Asteraceae	species	accepted	Stevia heptachaeta	NA	Stevia heptachaeta
217	27151	Lepidaploa rufogrisea (A.St.-Hil.) H.Rob.	Asteraceae	species	accepted	Lepidaploa rufogrisea	NA	Lepidaploa rufogrisea
218	12668	Peperomia loxensis Kunth	Piperaceae	species	accepted	Peperomia loxensis	LC	Peperomia loxensis
219	19399	Banisteriopsis malifolia (Nees & Mart.) B.Gates	Malpighiaceae	species	accepted	Banisteriopsis malifolia	NA	Banisteriopsis malifolia
220	15659	Schefflera macrocarpa (Cham. & Schltdl.) Frodin	Araliaceae	species	accepted	Schefflera macrocarpa	NA	Schefflera macrocarpa
221	85381	Miconia myriantha Benth.	Melastomataceae	species	accepted	Miconia myriantha	NA	Miconia myriantha
222	13818	Ranunculus bonariensis Poir.	Ranunculaceae	species	accepted	Ranunculus bonariensis	NA	Ranunculus bonariensis
223	27906	Chamaecrista crommyotricha (Harms) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista crommyotricha	NA	Chamaecrista crommyotricha
225	30563	Pavonia pohlii Gürke	Malvaceae	species	accepted	Pavonia pohlii	NA	Pavonia pohlii
226	7458	Agarista hispidula (DC.) Hook. ex Nied.	Ericaceae	species	accepted	Agarista hispidula	NA	Agarista hispidula
227	137531	Lippia stachyoides var. martiana (Schauer) Salimena & Múlgura	Verbenaceae	variety	accepted	Lippia stachyoides var. martiana	NA	Lippia martiana
228	126473	Caamembeca ulei (Taub.) J.F.B.Pastore	Polygalaceae	species	accepted	Caamembeca ulei	NA	Caamembeca ulei
229	4672	Mandevilla scabra (Hoffmanns. ex Roem. & Schult.) K.Schum.	Apocynaceae	species	accepted	Mandevilla scabra	NA	Mandevilla scabra
230	82906	Chamaecrista multiseta (Benth.) H.S.Irwin & Barneby	Fabaceae	species	accepted	Chamaecrista multiseta	NA	Chamaecrista multiseta
231	26079	Palicourea coriacea (Cham.) K.Schum.	Rubiaceae	species	accepted	Palicourea coriacea	NA	Palicourea coriacea
