idx	id	scientific.name	family	taxon.rank	taxon.status	search.str	threat.status	original.search
1	21888	Aspidosperma macrocarpon Mart. & Zucc.	Apocynaceae	species	accepted	Aspidosperma macrocarpon	LC	Aspidosperma macrocarpon
2	117276	Annona tomentosa R.E.Fr.	Annonaceae	species	accepted	Annona tomentosa	NA	Annona tomentosa
3	37162	Syzygium jambos (L.) Alston	Myrtaceae	species	accepted	Syzygium jambos	NA	Syzygium jambos
4	16536	Cordia trichotoma (Vell.) Arráb. ex Steud.	Boraginaceae	species	accepted	Cordia trichotoma	NA	Cordia trichotoma
5	23480	Physocalymma scaberrimum Pohl	Lythraceae	species	accepted	Physocalymma scaberrimum	LC	Physocalymma scaberrimum
6	20606	Triplaris gardneriana Wedd.	Polygonaceae	species	accepted	Triplaris gardneriana	NA	Triplaris gardneriana
7	132583	Cyanocephalus cuneatus (Pohl ex Benth.) Harley & J.F.B.Pastore	Lamiaceae	species	accepted	Cyanocephalus cuneatus	NA	Cyanocephalus cuneatus
8	8120	Aegiphila verticillata Vell.	Lamiaceae	species	accepted	Aegiphila verticillata	NA	Aegiphila verticillata
9	30387	Diplusodon rosmarinifolius A.St.-Hil.	Lythraceae	species	accepted	Diplusodon rosmarinifolius	NA	Diplusodon rosmarinifolius
10	115421	Symplocos revoluta Casar.	Symplocaceae	species	accepted	Symplocos revoluta	NA	Symplocos revoluta
11	17438	Erythroxylum vacciniifolium Mart.	Erythroxylaceae	species	accepted	Erythroxylum vacciniifolium	NA	Erythroxylum vaccinifolium
12	7462	Agarista oleifolia (Cham.) G.Don	Ericaceae	species	accepted	Agarista oleifolia	NA	Agarista oleifolia
13	6791	Salacia elliptica (Mart. ex Schult.) G.Don	Celastraceae	species	accepted	Salacia elliptica	NA	Salacia elliptica
14	10097	Mollinedia oligantha Perkins	Monimiaceae	species	accepted	Mollinedia oligantha	NA	Mollinedia oligantha
15	8264	Hyptis turnerifolia Mart. ex Benth.	Lamiaceae	species	accepted	Hyptis turnerifolia	NA	Hyptis turnerifolia
16	12739	Piper aequale Vahl	Piperaceae	species	accepted	Piper aequale	NA	Piper aequale
17	13799	Roupala montana Aubl.	Proteaceae	species	accepted	Roupala montana	NA	Roupala montana
18	4549	Condylocarpon isthmicum (Vell.) A.DC.	Apocynaceae	species	accepted	Condylocarpon isthmicum	NA	Condylocarpon isthmicum
19	115607	Symplocos oblongifolia Casar.	Symplocaceae	species	accepted	Symplocos oblongifolia	NA	Symplocos oblongifolia
20	6599	Protium spruceanum (Benth.) Engl.	Burseraceae	species	accepted	Protium spruceanum	NA	Protium spruceanum
21	30799	Ossaea warmingiana Cogn.	Melastomataceae	species	accepted	Ossaea warmingiana	VU	Ossaea warmingiana
22	19805	Cybianthus detergens Mart.	Primulaceae	species	accepted	Cybianthus detergens	NA	Cybianthus detergens
23	32107	Oxalis densifolia Mart. & Zucc. ex Zucc.	Oxalidaceae	species	accepted	Oxalis densifolia	NA	Oxalis densifolia
24	105403	Varronia calocephala (Cham.) Friesen	Boraginaceae	species	accepted	Varronia calocephala	NA	Varronia calocephala
25	30165	Hyptis saxatilis A.St.-Hil. ex Benth.	Lamiaceae	species	accepted	Hyptis saxatilis	NA	Hyptis saxatilis
26	132599	Cyanocephalus tenuifolius (Epling) Harley & J.F.B.Pastore	Lamiaceae	species	accepted	Cyanocephalus tenuifolius	NA	Cyanocephalus tenuifolius
27	7754	Chelonanthus viridiflorus (Mart.) Gilg	Gentianaceae	species	accepted	Chelonanthus viridiflorus	NA	Chelonanthus viridiflorus
29	8795	Magnolia ovata (A.St.-Hil.) Spreng.	Magnoliaceae	species	accepted	Magnolia ovata	LC	Magnolia ovata
30	603556	Ruellia incompta (Nees) Lindau	Acanthaceae	species	NA	Ruellia incompta	NA	Ruellia incompta
31	14911	Symplocos nitens (Pohl) Benth.	Symplocaceae	species	accepted	Symplocos nitens	NA	Symplocos nitens
32	16765	Couepia grandiflora (Mart. & Zucc.) Benth.	Chrysobalanaceae	species	accepted	Couepia grandiflora	NA	Couepia grandiflora
33	6808	Hedyosmum brasiliense Mart. ex Miq.	Chloranthaceae	species	accepted	Hedyosmum brasiliense	NA	Hedyosmum brasiliense
34	30374	Diplusodon oblongus Pohl	Lythraceae	species	accepted	Diplusodon oblongus	NA	Diplusodon oblongus
35	19909	Neea theifera Oerst.	Nyctaginaceae	species	accepted	Neea theifera	NA	Neea theifera
36	105534	Varronia truncata (Fresen.) Borhidi	Boraginaceae	species	accepted	Varronia truncata	NA	Varronia truncata
37	14915	Symplocos pubescens Klotzsch ex Benth.	Symplocaceae	species	accepted	Symplocos pubescens	NA	Symplocos pubescens
38	1394	Simarouba versicolor A.St.-Hil.	Simaroubaceae	species	accepted	Simarouba versicolor	NA	Simarouba versicolor
39	603531	Myriopus breviflorus (DC.) Luebert	Boraginaceae	species	accepted	Myriopus breviflorus	NA	Myriopus breviflorus
40	1381	Simarouba amara Aubl.	Simaroubaceae	species	accepted	Simarouba amara	NA	Simarouba amara
41	14548	Siparuna guianensis Aubl.	Siparunaceae	species	accepted	Siparuna guianensis	NA	Siparuna guianensis
42	4687	Marsdenia hilariana E.Fourn.	Apocynaceae	species	accepted	Marsdenia hilariana	NA	Marsdenia hilariana
43	19908	Guapira noxia (Netto) Lundell	Nyctaginaceae	species	accepted	Guapira noxia	NA	Guapira noxia
45	4870	Tassadia propinqua Decne.	Apocynaceae	species	accepted	Tassadia propinqua	NA	Tassadia propinqua
46	10230	Myrsine gardneriana A.DC.	Primulaceae	species	accepted	Myrsine gardneriana	NA	Myrsine gardneriana
47	25580	Curtia tenuifolia (Aubl.) Knobl.	Gentianaceae	species	accepted	Curtia tenuifolia	LC	Curtia tenuifolia
48	8236	Hyptis nudicaulis Benth.	Lamiaceae	species	accepted	Hyptis nudicaulis	NA	Hyptis nudicaulis
49	30096	Hypenia brachystachys (Pohl ex Benth.) Harley	Lamiaceae	species	accepted	Hypenia brachystachys	NA	Hypenia brachystachys
50	4661	Mandevilla hirsuta (A.Rich.) K.Schum.	Apocynaceae	species	accepted	Mandevilla hirsuta	LC	Mandevilla hirsuta
51	32505	Prunus brasiliensis (Cham. & Schltdl.) D.Dietr.	Rosaceae	species	accepted	Prunus brasiliensis	NA	Prunus brasiliensis
53	16847	Licania octandra (Hoffmanns. ex Roem. & Schult.) Kuntze	Chrysobalanaceae	species	accepted	Licania octandra	NA	Licania octandra
54	15592	Odontadenia lutea (Vell.) Markgr.	Apocynaceae	species	accepted	Odontadenia lutea	NA	Odontadenia lutea
55	16932	Connarus suberosus Planch.	Connaraceae	species	accepted	Connarus suberosus	NA	Connarus suberosus
56	15527	Eryngium ebracteatum Lam.	Apiaceae	species	accepted	Eryngium ebracteatum	NA	Eryngium ebracteatum
57	4758	Oxypetalum erectum Mart.	Apocynaceae	species	accepted	Oxypetalum erectum	NA	Oxypetalum erectum
58	12583	Phytolacca thyrsiflora Fenzl. ex J.A.Schmidt	Phytolaccaceae	species	accepted	Phytolacca thyrsiflora	NA	Phytolacca thyrsiflora
