family,species,habitat,RBS,nectar
Myrtaceae,Syzygium cumini,introduced,Y,Y
Myrtaceae,Myrcia linearifolia,cerrado,N,N
Loranthaceae,Struthanthus/Psittacanthus spc,NA,N,Y
Anacardiaceae,Tapirira guianensis,forest,Y,Y
Phyllanthaceae,Richeria grandis,forest,Y,Y
Myrtaceae,Myrcia pinifolia,cerrado,N,N
Sapindaceae,Matayba guianensis,cerrado&forest,Y,Y
Euphorbiaceae,Mabea fistulifera,cerrado,Y,Y
Primulaceae,Myrsine spc,NA,N,N
Melastomataceae,Miconia stenostachya,cerrado,N,N
Nyctaginaceae,Guapira graciliflora,cerrado,Y,Y
Asteraceae,Baccharis dracunculifolia,cerrado,N,Y
Rosaceae,Rubus urticifolius,forest,Y,Y
Myrtaceae,Blepharocalyx salicifolius,cerrado,Y,N
Malpighiaceae,Byrsonima pachyphylla,cerrado,Y,N
Chloranthaceae,Hedyosmum brasiliense,forest,Y,N
Euphorbiaceae,Maprounea guianensis,cerrado,Y,N
Dumortieraceae,Dumortiera hirsuta,forest,Y,N
Piperaceae,Piper aduncum,forest,Y,N
Myrtaceae,Myrtaceae spc,NA,N,NA
Myrtaceae,Eucalyptus spc,introduced,N,Y
Fabaceae,Stryphnodendron spc,cerrado,Y,Y
Melastomataceae,Miconia leucocarpa,cerrado,Y,N
Apiaceae,Foeniculum vulgare,introduced,N,Y
Euphorbiaceae,Croton conduplicatus,cerrado,N,Y
Anacardiaceae,Toxicodendron succedaneum,introduced,N,Y
Clusiaceae,Clusia criuva,forest,Y,N
Myrtaceae,Myrcia guianensis,cerrado,Y,N
Melastomataceae,Miconia hirtella,forest,N,Y
Malpighiaceae,Peixotoa reticulata,,N,NA
Styracaceae,Styrax ferrugineus,cerrado,N,Y
Malpighiaceae,Byrsonima basiloba,cerrado,Y,N
Myrtaceae,Myrcia tomentosa,cerrado&forest,Y,N
Moraceae,Moraceae spc,NA,N,NA
Melastomataceae,Leandra polystachya,cerrado,Y,N
Myrtaceae,Myrcia splendens,cerrado&forest,Y,N
Fabaceae,Copaifera langsdorffii?,forest,N,Y
Malpighiaceae,Byrsonima laxiflora,forest,Y,N
Fabaceae,Chamaecrista brachyrachis,cerrado,N,N
Chrysobalanaceae,Couepia grandiflora,cerrado,N,Y
Primulaceae,Myrsine umbellata,forest,Y,N
Euphorbiaceae,Acalypha spc,cerrado,N,N
Myrtaceae,Eugenia spc,NA,N,N
Lythraceae,Cuphea spc,cerrado,N,Y
Fabaceae,Fabaceae spp.,NA,N,NA
Piperaceae,Piper spc,NA,N,NA
Sapindaceae,Sapindaceae spc,NA,N,NA
Solanaceae,Solanum lycopersicum,introduced,N,N
Euphorbiaceae,Croton abaitensis,cerrado,N,Y
Myrtaceae,Eugenia involucrata,cerrado,Y,N
Aquifoliaceae,Ilex affinis,forest,N,Y
Malpighiaceae,Byrsonima crassifolia,cerrado,N,N
Pinaceae,Pinus spc,introduced,N,N
Rosaceae,Rosa chinensis,introduced,N,N
Urticaceae,Cecropia pachystachya,forest,Y,Y
Cyperaceae,Carex spc,forest,N,N
Araliaceae,Schefflera macrocarpa,cerrado,Y,N
Moraceae,Artocarpus heterophyllus,introduced,N,N
