"kingdom";"phylum";"order";"family";"genus";"species";"Melipona rufiventris.honey";"Scaptotrigona sp.honey";"Tetragonisca angustula.honey";"Melipona rufiventris.pollen";"Scaptotrigona sp.pollen";"Tetragonisca angustula.pollen"
"Viridiplantae";"Streptophyta";"Poales";"Cyperaceae";"Carex";"Carex spc";"0";"0.00392564710690139";"0.00190129312153076";"0.00116213623241515";"0";"0"
"Viridiplantae";"Streptophyta";"Fabales";"Fabaceae";"Vicia";"Vicia spc";"0";"0";"0.000880125002525684";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Apiales";"Apiaceae";"Foeniculum";"Foeniculum vulgare";"0";"0";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Malpighiales";"Malpighiaceae";"Malpighiaceae spc";"Malpighiaceae spc";"0";"0";"0.00138665181200551";"0";"0";"0.000257390824571418"
"Viridiplantae";"Streptophyta";"Malpighiales";"Euphorbiaceae";"Euphorbia";"Euphorbia potentilloides";"0";"0";"0";"0";"0";"0.00156316418998671"
"Viridiplantae";"Streptophyta";"Boraginales";"Boraginaceae";"Echium";"Echium spc";"0";"0";"0.000671674344032759";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Myrtales";"Myrtaceae";"Campomanesia";"Campomanesia pubescens";"0";"0";"0";"0.00997482176487735";"0";"0"
"Viridiplantae";"Streptophyta";"Marchantiales";"Dumortieraceae";"Dumortiera";"Dumortiera hirsuta";"0";"0";"0";"0.0156344204994656";"0.000451646454904503";"0.000243710193439798"
"Viridiplantae";"Streptophyta";"Malpighiales";"Euphorbiaceae";"Croton";"Croton conduplicatus";"0.00464635846971131";"0.00198685554550628";"0.00104727576143282";"0";"0";"0.0208614562887822"
"Viridiplantae";"Streptophyta";"Liliopsida";"Liliopsida spc";"Liliopsida spc";"Liliopsida spc";"0.00963165921808186";"0.00255878300462917";"0";"0";"0";"0"
"Viridiplantae";"Streptophyta";"Fabales";"Fabaceae";"Glycine";"Glycine max";"0";"0";"0.000432835852680292";"0";"0.000715293369532616";"0"
"Viridiplantae";"Streptophyta";"Solanales";"Convolvulaceae";"Convolvulus";"Convolvulus spc";"0";"0.00130821738598084";"0.000427392864921054";"0";"0";"0"
