	10	100	101	102	103	104	105	106	107	108	109	11	110	111	112	114	115	116	117	118	119	12	120	121	122	123	124	125	126	127	128	129	13	130	131	132	133	134	135	136	137	138	139	14	140	141	142	143	144	145	146	147	148	149	15	150	151	152a	152b	153	154	157	159	16	160	162	163	164	165	166	167	168	169	17	170	171	172	173	176	177a	177b	178a	178b	178c	179	18	180	181a	181b	182a	182b	183	186	187	188a	188b	189	19	190a	190b	191	192	193	194	195	196	197	198	199	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	4	40	41	42	43	44	45	47	48	49	5	50	51	52	53	54	55	56	57	58	59	6	60	61	62	64	65	66	67	68	69	7	70	71	72	73	74	75	76	77	78	79	8	80	87	88	89	9	93	94	95	96	97a	97b	98a	98b	99
R1+2-10-5;ee=0.0723;size=131256	16009	216	3	276	19	0	73	0	1	0	844	0	0	231	267	37	10008	0	0	0	31	132	0	7	250	264	4	1638	103	5571	2	2	118	11	22	31	483	1171	742	7	217	4	6	4	0	996	1122	45	0	150	214	101	248	1130	0	408	1570	1079	1192	84	0	981	0	948	1	1418	1519	2709	58	0	0	8	0	0	0	1	2077	109	335	0	5407	0	626	0	2	2	1	0	2037	32	4627	3	509	32	31	221	4565	1	94	3266	11	0	0	1	4	17	3	1	11	0	8	1384	0	0	19	0	0	7	4	4757	0	0	1	818	0	1	0	2	6676	13	188	1310	230	3791	12	18	13	5574	2	115	1	1	19	1	3039	483	2165	1	4876	0	0	3397	23	0	0	1	465	0	1	570	447	10593	0	141	0	4	3	1	6521	2066	79	0	570	1031	1054	3978	7261	1	0	0	27	19	1298	5	24	157
R1+2-10-2;ee=0.0462;size=96214	1059	29	3	19	6	1	146	0	0	0	8	4	0	77	183	19	82	2	3	343	33	3003	2	4	787	306	732	125	1348	1540	142	1	4039	1	8	0	0	18	95	2	0	0	5	594	0	682	29	155	324	60	35	28	117	24	1	344	757	493	149	0	309	43	3	52	0	35	0	1	229	0	0	0	0	3812	3	229	577	50	80	0	436	0	28	0	5	189	0	175	129	3	745	44	122	0	0	9	304	4385	22	99	0	0	1	64	1	9	1	1	0	1033	1443	4972	302	12	14	2858	638	3202	5	1038	3893	50	2873	287	9	9	185	32	2	1243	0	41	171	31	0	15	9	22	83	4533	0	0	330	0	664	6549	1009	1	13	0	8280	0	1	9	1956	6340	5742	1483	106	1309	11968	428	601	442	24	1394	5943	128	310	863	3	164	6	153	179	335	185	132	1	1	11	6	279	69	70	0
R1+2-67-123;ee=0.1420;size=226	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	1	2033	7	157	0	203	583	0	0	1237	0	0	149	221	0	0	0	0	0	0	340	0	0	0	1	0	0	0	0	0
R1+2-10-66;ee=0.0462;size=3699	815	7	0	17	2	0	4	0	0	0	81	0	0	1	27	0	271	0	0	0	0	6	0	0	4	0	0	53	0	201	0	0	2	1	1	0	4	45	10	4	1	0	0	0	0	36	48	1	0	0	0	0	1	0	0	6	53	671	74	0	0	41	0	34	0	50	56	102	1	0	0	0	0	0	0	0	225	1	2	0	398	0	35	0	0	0	0	0	249	0	477	0	35	1	0	39	216	0	0	187	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	228	0	0	0	28	0	0	0	0	488	1	2	26	2	158	0	3	4	446	0	7	0	0	0	0	159	12	84	0	263	0	0	172	0	0	0	0	0	0	0	17	20	752	0	0	0	1	0	0	326	164	1	0	6	51	82	145	476	0	0	0	0	15	35	0	0	39
R1+2-13-4970;ee=0.0509;size=11	63	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11	0	0	2	1	0	0	5	0	0	0	182	0	0	0	0	6	37	0	0	0	0	0	0	61	1	2	3	0	0	0	0	0	0	2	0	4	0	0	0	4	0	3	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	39	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	21	0	0	0	74	6	0	0	4	0	0	0	0	0	0	0	0	243	0	0	0	0	4	0	2	0	0	0	0	13	178	17	0	0	0	0	0	0	0	0	0	0	13	74	2	148	0	43	0	0	26	0	0	2	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
R1+2-10-26;ee=0.1937;size=2150	700	11	0	19	3	0	0	0	0	0	7	0	0	26	1	2	107	1	0	0	0	0	0	0	1	1	0	4	0	11	0	0	1	0	0	0	4	17	7	1	0	0	0	0	0	13	30	1	0	0	18	0	0	0	0	3	31	1	41	0	0	79	0	29	0	12	43	28	0	0	0	0	0	0	0	0	210	2	1	0	94	0	24	0	1	0	0	0	74	0	230	1	26	1	0	15	5	0	0	102	0	0	0	0	0	0	0	4	2	0	0	30	0	0	0	0	0	0	0	152	0	0	0	16	0	0	0	0	158	0	0	17	0	111	0	1	0	202	0	6	0	0	0	0	54	2	54	0	165	0	0	65	1	0	0	0	0	0	0	9	6	573	0	0	0	0	0	0	127	64	2	0	3	73	86	107	330	0	0	0	6	0	176	0	0	0
R1+2-10-14857;ee=0.0451;size=23	170	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	25	0	0	0	0	0	0	0	0	0	0	2	0	15	0	1	2	0	0	0	0	4	3	0	0	0	0	0	0	15	11	0	0	0	0	0	1	0	0	3	14	1	5	0	0	0	0	21	0	8	11	21	0	0	0	0	0	0	0	0	65	2	4	0	26	0	33	0	0	0	0	0	17	0	43	0	8	0	0	8	4	0	0	8	0	0	0	0	0	0	1	0	0	0	0	23	0	0	0	0	0	0	0	49	0	0	0	3	0	0	0	0	67	0	0	5	2	47	0	1	0	61	0	3	0	0	0	0	18	8	19	0	44	0	0	25	0	0	0	0	0	0	0	16	1	141	0	0	0	0	0	0	47	27	1	0	0	0	0	22	162	0	0	0	0	0	0	0	0	0
R1+2-10-70;ee=0.0490;size=66690	3763	14	0	7	2	0	94	0	0	0	103	0	0	9	1	1	0	0	0	206	0	89	0	0	64	2	0	0	0	0	80	0	657	1	2	0	0	0	65	0	0	0	0	1	0	15	3	2	0	1	55	0	1	0	0	145	0	366	13	0	0	1	0	1370	0	0	1	0	0	0	0	0	0	4	0	0	136	61	280	1	43	47	0	0	4	0	0	33	31	20	77	0	0	0	21	0	210	1	86	60	0	0	0	0	0	0	0	0	0	0	1	1	0	0	192	0	0	13	0	61	4207	1	0	1	0	1	0	0	2	0	0	5	0	0	0	12	4	0	0	21	0	0	0	0	614	511	0	0	57	0	0	0	0	0	0	4	1	16230	90	739	0	9911	2309	57	0	10867	658	3	8782	7732	20	0	56	0	484	174	9368	8	0	0	23	10	38	30	24	221
R1+2-10-4172;ee=0.0454;size=25466	41	34	0	16	2	0	0	0	0	0	0	0	0	32	3	0	1	0	0	4	18	0	0	2	0	0	0	0	0	0	0	0	0	2	10	11	7	0	0	2	2	0	4	3	0	0	0	3	0	11302	23	87	35	0	5	49	1544	1220	136	1	1510	0	0	0	0	11	0	0	2	8	0	24	744	0	2	8	26	0	5230	10	93	0	5178	1115	1	2	0	0	31	87	329	0	3319	1	5	8	0	2	0	33	3	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	46	0	4	0	0	0	0	0	82	0	0	0	0	3	9	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	0	1	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	20	0	58	0	0	0	0	12	0	18	0	19	0
