"","abundance"
"Syzygium cumini",11.5506641683955
"Richeria grandis",7.99325861170418
"Tapirira guianensis",6.81422722168577
"Myrcia linearifolia",5.29244213106627
"Mabea spc",4.2746685443794
"Myrsine spc",3.53786839266373
"Miconia stenostachya",3.09371475522491
"Hedyosmum brasiliense",2.88701843143373
"Maprounea guianensis",2.8643382612745
"Byrsonima pachyphylla",2.61617081064072
"Struthanthus/Psittacanthus spc",2.39344036701877
"Matayba guianensis",2.29112459122749
"Guapira graciliflora",1.81768843692456
"Piper aduncum",1.62497427311735
"Baccharis dracunculifolia",1.52311749289309
"Rubus urticifolius",1.33376890120643
"Myrcia pinifolia",1.3249306382661
"Toxicodendron succedaneum",1.03552909300895
"Croton conduplicatus",0.967634475004635
"Clusia criuva",0.790816692382527
