family,species,IBGE?,RBS CE,RBS GF,habitat,abundance rank,,new abundance rank,Bee secies consensus honey/pollen,Nectar,Notes
Myrtaceae,Syzygium cumini,Yes,Gfor,yes,cultivated,1,25.77,1,ALL,yes,
Myrtaceae,Myrcia linearifolia,Yes,Cerr,,Cerrado,2,19.81,2,ALL,no,
Loranthaceae,Struthanthus/Psittacanthus spc,inc gen,?Tax,,?,3,17.49,3,ALL,yes,Both genera have nectaries in all DF species
Anacardiaceae,Tapirira guianensis,Yes,֎,yes,Gallery Forest *,4,11.37,4,ALL,Yes,
Phyllanthaceae,Richeria grandis,Yes,Gfor,yes,Gallery Forest *,5,11.21,5,ALL,yes,"Dioica, nectário presente nas flores masculinas e femininas. Silva, O. & Cordeiro, I. Flora do Brasil 2020"
Myrtaceae,Myrcia pinifolia,Yes,Cerr,,Cerrado,7,8.55,6,ALL,no,
Sapindaceae,Matayba guianensis,Yes,֎,yes,"Cerrado, Gallery Forest *",6,8.38,7,ALL,yes,"Flores masc. e fem. produzem nectar, a espécie é trióica (plantas masc., plantas fem., e plantas monóicas) - ver paper guildas de abelhas que visitam essa sp., Apis mell., Scaptotrigona depilis e Tetragonisca angostula foram as que mais visitaram"
Euphorbiaceae,Mabea fistulifera,Yes pres,֎,,Cerrado,9,5.64,8,ALL,yes,"Micos se alimentam do nectar (Passos & Kim 1999);  Mabea therefore seems to be one of the very few genera of flowering plants that shows both a chiropterophilous and an entomophilous syndrome in different species within the same genus. Male flowere of M. fistulifera visited by Apis mell., Trigona spinipes, T. hyalinata and Partomona cupira to remove pollen; flowers produce abundant pollen and nectar"
Primulaceae,Myrsine spc,Inc gen,?Tax,,?,10,5.29,9,ALL gen,no,"Resina, cavidades secretoras nas flores no gênero (Freitas, M.F. Myrsine in Flora do Brasil 2020); M. parvifolia (a Restinga species) is rarely visited by Trigona spinepes attracted by large amounts of pollen, visits only male plants, the species is exclusively wind-pollinated"
Melastomataceae,Miconia stenostachya,Yes,?Tax,,Cerrado,8,5.22,10,ALL,no,
Nyctaginaceae,Guapira graciliflora,Yes,֎,,Cerrado,11,4.9,11,ALL,yes,Nectar is the reward (Oliveira et al. 2000)
Asteraceae,Baccharis dracunculifolia,Yes,?Tax,,Cerrado,13,4.3,12,ALL,yes,"Doecious species, only male flowers have significant nectar;"
Rosaceae,Rubus urticifolius,Yes,Gfor,yes,Gallery Forest,12,4.04,13,ALL,yes?,"Espécie mais visitada pelas abelhas (29 espécies, com destaque para Trigona spinipes, Apis mellifera e registro de Tetragonisca angostula) em estudo no Paraná (3 propriedades rurais). R. articus (Estonia) produz nectar (Karp et al. 2004), assim como R. idaeus, R. pubescens e R. allegheniensis (Whitney 1984)."
Myrtaceae,Blepharocalyx salicifolius,Yes,֎,yes,Cerrado,14,3.53,14,ALL,no,
Malpighiaceae,Byrsonima pachyphylla,Yes,֎,,Cerrado,15,3.45,15,ALL,no,Reward is pollen (Martins & Batalha 1988); oil flower 
Chloranthaceae,Hedyosmum brasiliense,Yes,Gfor,yes,Gallery Forest,16,3.37,16,ALL,no,
Euphorbiaceae,Maprounea guianensis,Yes,֎,yes,Cerrado,17,3.31,17,ALL,no,"Esser 2012 does not mention nectaries on the floral bracts, such as occur in Mabea "
Dumortieraceae,Dumortiera hirsuta,Yes poss,Gfor,yes?,Gallery Forest,39,2.27,18,ALL brio,no,
Piperaceae,Piper aduncum,Yes,Gfor,yes,"Gallery Forest, swamp",18,2.05,19,ALL,no,"Odourless, mostly visited by Diptera in SE Brazil, only 3% visits by Hymenoptera; pollinated by Trigona spp. in Costa Rica that collect ""large amounts of pollen in their pollen baskets"""
Myrtaceae,Myrtaceae spc,inc fam,?Tax,,?,19,1.48,20,ALL fam,?,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
