"","abundance"
"Struthanthus/Psittacanthus spc",12.1972503213649
"Syzygium cumini",12.0122235345929
"Myrcia linearifolia",7.12972732754922
"Matayba guianensis",5.49776543083682
"Myrcia pinifolia",4.48298570691457
"Tapirira guianensis",3.95777353955904
"Blepharocalyx salicifolius",2.43870814527991
"Guapira graciliflora",2.4025050332335
"Richeria grandis",2.13093877526627
"Baccharis dracunculifolia",1.96636305852007
"Rubus urticifolius",1.82632860732835
"Dumortiera hirsuta",1.26447156483913
"Myrsine spc",1.19183350722754
"Miconia stenostachya",1.04758988827072
"Myrtaceae spc",0.958651396542822
"Eucalyptus spc",0.822955224883529
"Byrsonima pachyphylla",0.802176613107099
"Mabea spc",0.798652103898234
"Stryphnodendron spc",0.589809685325369
"Myrcia tomentosa",0.574901869700911
