Sample_ID;Chip_ID;BeeSpecies;Nest_number;Collecting date;Sample_type;Stored_in;include
X131;S114;Tetragonisca angustula;Ta3;10/12/2019;pollen;nest;yes
X132;S115;Scaptotrigona sp;S10;10/12/2019;pollen;nest;yes
X133;S116;Tetragonisca angustula;Ta2;10/12/2019;pollen;nest;yes
X134;S117;Tetragonisca angustula;Ta5;10/12/2019;pollen;nest;yes
X135;S118;Tetragonisca angustula;Ta7;10/12/2019;pollen;nest;yes
X136;S119;Scaptotrigona sp;S2;10/12/2019;pollen;nest;yes
X137;S120;Tetragonisca angustula;Ta6;10/12/2019;pollen;nest;yes
X138;S121;Melipona rufiventris;M4;10/12/2019;pollen;nest;yes
X139;S122;Scaptotrigona sp;S2;10/12/2019;pollen;nest;yes
X140;S123;Melipona rufiventris;M1;10/12/2019;pollen;nest;yes
X141;S124;Tetragonisca angustula;Ta1;10/12/2019;pollen;nest;yes
X142;S125;Tetragonisca angustula;Ta4;10/12/2019;pollen;nest;yes
X143;S126;Scaptotrigona sp;S6;10/12/2019;pollen;nest;yes
X144;S127;Scaptotrigona sp;;10/12/2019;honey;nest;yes
X145;S128;Tetragonisca angustula;;10/12/2019;honey;nest;yes
X146;S129;Tetragonisca angustula;;10/12/2019;honey;nest;yes
X147;S130;Melipona rufiventris;;10/12/2019;honey;nest;yes
X148;S131;Scaptotrigona sp;;10/12/2019;honey;nest;yes
X149;S132;Scaptotrigona sp;;10/12/2019;honey;nest;yes
X150;S133;Scaptotrigona sp;;10/12/2019;honey;nest;yes
X151;S134;Tetragonisca angustula;;10/12/2019;honey;nest;yes
X152a;S168;Tetragonisca angustula;;10/12/2019;honey;nest;yes
X152b;S169;Tetragonisca angustula;;10/12/2019;honey;nest;yes
X153;S135;Melipona rufiventris;;10/12/2019;honey;nest;yes
X154;S136;Scaptotrigona sp;;10/12/2019;honey;nest;yes
X157;S137;Tetragonisca angustula;;10/12/2019;honey;nest;yes
X159;S138;Tetragonisca angustula;T1;12/11/2019;pollen;nest;yes
X160;S139;Melipona rufiventris;M1;17/12/2019;pollen;nest;yes
X162;S140;Tetragonisca angustula;T4;17/12/2019;pollen;nest;yes
X163;S141;Tetragonisca angustula;T5;17/12/2019;pollen;nest;yes
X164;S142;Tetragonisca angustula;T6;17/12/2019;pollen;nest;yes
X165;S143;Tetragonisca angustula;T3;17/12/2019;pollen;nest;yes
X166;S144;Tetragonisca angustula;T7;17/12/2019;pollen;nest;yes
X167;S145;Scaptotrigona sp;S4;17/12/2019;pollen;nest;yes
X168;S146;Scaptotrigona sp;S3;17/12/2019;pollen;nest;yes
X169;S147;Scaptotrigona sp;S6;17/12/2019;pollen;nest;yes
X170;S148;Scaptotrigona sp;S7;17/12/2019;pollen;nest;yes
X171;S149;Scaptotrigona sp;S9;17/12/2019;pollen;nest;yes
X172;S150;Scaptotrigona sp;S10;17/12/2019;pollen;nest;yes
X173;S151;Scaptotrigona sp;S2;17/12/2019;pollen;nest;yes
X176;S152;Tetragonisca angustula;T6;17/12/2019;honey;nest;yes
X177a;S170;Scaptotrigona sp;S3;17/12/2019;honey;nest;yes
X177b;S171;Scaptotrigona sp;S3;17/12/2019;honey;nest;yes
X178a;S172;Tetragonisca angustula;T5;17/12/2019;honey;nest;yes
X178b;S173;Tetragonisca angustula;T5;17/12/2019;honey;nest;yes
X178c;S174;Tetragonisca angustula;T5;17/12/2019;honey;nest;yes
X179;S153;Tetragonisca angustula;T4;17/12/2019;honey;nest;yes
X180;S154;Scaptotrigona sp;S10;17/12/2019;honey;nest;yes
X181a;S175;Scaptotrigona sp;S9;17/12/2019;honey;nest;yes
X181b;S176;Scaptotrigona sp;S9;17/12/2019;honey;nest;yes
X182a;S177;Scaptotrigona sp;S2;17/12/2019;honey;nest;yes
X182b;S178;Scaptotrigona sp;S2;17/12/2019;honey;nest;yes
X183;S155;Scaptotrigona sp;S6;17/12/2019;honey;nest;yes
X186;S156;Tetragonisca angustula;T3;17/12/2019;honey;nest;yes
X187;S157;Melipona sp;;16/12/2019;pollen;corbicules;no
X188a;S179;Scaptotrigona sp;;16/12/2019;pollen;corbicules;no
X188b;S180;Scaptotrigona sp;;16/12/2019;pollen;corbicules;no
X189;S158;Bombus sp;;16/12/2019;pollen;corbicules;no
X190a;S181;Exomalopsis sp;;16/12/2019;pollen;corbicules;no
X190b;S182;Exomalopsis sp;;16/12/2019;pollen;corbicules;no
X191;S159;Glossophaga soricina;;16/12/2019;pollen;feces;no
X192;S160;Paratrigona linneata;;2019;pollen;corbicules;no
X193;S161;Paratrigona linneata;;2008/2009;pollen;corbicules;no
X194;S162;Exomalopsis sp;;2019;pollen;scopae;no
X195;S163;Exomalopsis sp;;2008/2009;pollen;scopae;no
X196;S164;Exomalopsis fulvofasciata;;2019;pollen;scopae;no
X197;S165;Exomalopsis fulvofasciata;;2008/2009;pollen;scopae;no
X198;S166;Augochloropsis smithiana;;2019;pollen;scopae;no
X199;S167;Augochloropsis smithiana;;2008/2009;pollen;scopae;no
